proposal_radius,nms_radius,strategy,param_name,param_value,empty_anchor_ratio,median_raw_child_count,median_used_child_count,mean_used_child_count,p75_used_child_count,p90_used_child_count,mean_fallback_ratio,median_fallback_ratio,nearest_topm_distance_median,used_child_distance_mean,anchor_rows
2048.0,1024.0,bbox_containment,bbox_expand,3.0,0.22197164948453607,1.0,1.0,0.7873711340206185,1.0,1.0,0.0,0.0,1448.1546878700494,3.419703346052274,3104
2048.0,1024.0,bbox_then_nearest,bbox_expand,3.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9507893041237113,0.9375,1448.1546878700494,1925.547921032829,3104
2048.0,1024.0,bbox_containment,bbox_expand,4.0,0.22164948453608246,1.0,1.0,0.790270618556701,1.0,1.0,0.0,0.0,1448.1546878700494,3.948451507809547,3104
2048.0,1024.0,bbox_then_nearest,bbox_expand,4.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9506080863402062,0.9375,1448.1546878700494,1925.6001164086292,3104
2048.0,1024.0,bbox_containment,bbox_expand,6.0,0.22068298969072164,1.0,1.0,0.7960695876288659,1.0,1.0,0.0,0.0,1448.1546878700494,6.048501035800851,3104
2048.0,1024.0,bbox_then_nearest,bbox_expand,6.0,0.0,1.0,16.0,16.0,16.0,16.0,0.9502456507731959,0.9375,1448.1546878700494,1925.7195554283053,3104
2048.0,1024.0,bbox_containment,bbox_expand,8.0,0.047036082474226804,9.0,9.0,6.929123711340206,9.0,9.0,0.0,0.0,1448.1546878700494,1110.820053910094,3104
2048.0,1024.0,bbox_then_nearest,bbox_expand,8.0,0.0,9.0,16.0,16.0,16.0,16.0,0.5669297680412371,0.4375,1448.1546878700494,1925.7998869867088,3104
2048.0,1024.0,bbox_containment,bbox_expand,10.0,0.04639175257731959,9.0,9.0,6.940721649484536,9.0,9.0,0.0,0.0,1448.1546878700494,1112.0327578865827,3104
2048.0,1024.0,bbox_then_nearest,bbox_expand,10.0,0.0,9.0,16.0,16.0,16.0,16.0,0.5662048969072165,0.4375,1448.1546878700494,1925.7998869867088,3104
2048.0,1024.0,center_radius,high_radius,512.0,0.22261597938144329,1.0,1.0,0.7773840206185567,1.0,1.0,0.0,0.0,1448.1546878700494,0.8402345169449236,3104
2048.0,1024.0,center_radius,high_radius,1024.0,0.07957474226804123,5.0,5.0,3.86340206185567,5.0,5.0,0.0,0.0,1448.1546878700494,830.0619373204709,3104
2048.0,1024.0,center_radius,high_radius,2048.0,0.023195876288659795,12.0,12.0,9.954252577319588,13.0,13.0,0.0,0.0,1448.1546878700494,1410.409794263604,3104
2048.0,1024.0,center_radius,high_radius,4096.0,0.00032216494845360824,40.0,16.0,15.523840206185566,16.0,16.0,0.0,0.0,1448.1546878700494,1873.5665066446586,3104
2048.0,1024.0,center_radius,high_radius,8192.0,0.0,133.0,16.0,15.998711340206185,16.0,16.0,0.0,0.0,1448.1546878700494,1924.9520015573985,3104
4096.0,512.0,bbox_containment,bbox_expand,2.0,0.010309278350515464,117.0,16.0,14.592783505154639,16.0,16.0,0.0,0.0,1509.5112370399124,1828.2859727705738,3104
4096.0,512.0,bbox_then_nearest,bbox_expand,2.0,0.0,117.0,16.0,16.0,16.0,16.0,0.08795103092783506,0.0,1509.5112370399124,1840.2079624526857,3104
4096.0,512.0,bbox_containment,bbox_expand,3.0,0.008698453608247423,210.0,16.0,14.814110824742269,16.0,16.0,0.0,0.0,1509.5112370399124,1936.8401602986398,3104
4096.0,512.0,bbox_then_nearest,bbox_expand,3.0,0.0,210.0,16.0,16.0,16.0,16.0,0.07411807345360824,0.0,1509.5112370399124,1901.3867500532856,3104
4096.0,512.0,bbox_containment,bbox_expand,4.0,0.008054123711340205,312.0,16.0,14.971971649484535,16.0,16.0,0.0,0.0,1509.5112370399124,2023.93065008267,3104
4096.0,512.0,bbox_then_nearest,bbox_expand,4.0,0.0,312.0,16.0,16.0,16.0,16.0,0.0642517719072165,0.0,1509.5112370399124,1966.5196476807048,3104
4096.0,512.0,bbox_containment,bbox_expand,6.0,0.007087628865979381,530.0,16.0,15.241301546391753,16.0,16.0,0.0,0.0,1509.5112370399124,2185.740943160967,3104
4096.0,512.0,bbox_then_nearest,bbox_expand,6.0,0.0,530.0,16.0,16.0,16.0,16.0,0.04741865335051546,0.0,1509.5112370399124,2111.569158784714,3104
4096.0,512.0,bbox_containment,bbox_expand,8.0,0.0022551546391752575,752.0,16.0,15.778350515463918,16.0,16.0,0.0,0.0,1509.5112370399124,1889.2454290657952,3104
4096.0,512.0,bbox_then_nearest,bbox_expand,8.0,0.0,752.0,16.0,16.0,16.0,16.0,0.013853092783505154,0.0,1509.5112370399124,1905.6814961370849,3104
4096.0,512.0,bbox_containment,bbox_expand,10.0,0.0022551546391752575,918.0,16.0,15.797036082474227,16.0,16.0,0.0,0.0,1509.5112370399124,1900.4163401519684,3104
4096.0,512.0,bbox_then_nearest,bbox_expand,10.0,0.0,918.0,16.0,16.0,16.0,16.0,0.012685244845360825,0.0,1509.5112370399124,1918.253343693361,3104
4096.0,512.0,center_radius,high_radius,512.0,0.1646262886597938,1.0,1.0,0.8356958762886598,1.0,1.0,0.0,0.0,1509.5112370399124,119.1342813881415,3104
4096.0,512.0,center_radius,high_radius,1024.0,0.06733247422680412,3.0,3.0,2.626610824742268,3.0,4.0,0.0,0.0,1509.5112370399124,676.7899023178035,3104
4096.0,512.0,center_radius,high_radius,2048.0,0.009664948453608248,11.0,11.0,9.369845360824742,11.0,11.0,0.0,0.0,1509.5112370399124,1286.780028544186,3104
4096.0,512.0,center_radius,high_radius,4096.0,0.0,41.0,16.0,15.82860824742268,16.0,16.0,0.0,0.0,1509.5112370399124,1766.4983152886498,3104
4096.0,512.0,center_radius,high_radius,8192.0,0.0,134.0,16.0,15.996134020618557,16.0,16.0,0.0,0.0,1509.5112370399124,1787.9773592710287,3104
4096.0,1024.0,bbox_containment,bbox_expand,2.0,0.010309278350515464,117.0,16.0,14.601159793814434,16.0,16.0,0.0,0.0,1509.2277412337764,1827.2379915815807,3104
4096.0,1024.0,bbox_then_nearest,bbox_expand,2.0,0.0,117.0,16.0,16.0,16.0,16.0,0.08742751288659793,0.0,1509.2277412337764,1839.6648282890117,3104
4096.0,1024.0,bbox_containment,bbox_expand,3.0,0.008698453608247423,210.0,16.0,14.822487113402062,16.0,16.0,0.0,0.0,1509.2277412337764,1935.7508670344052,3104
4096.0,1024.0,bbox_then_nearest,bbox_expand,3.0,0.0,210.0,16.0,16.0,16.0,16.0,0.07359455541237113,0.0,1509.2277412337764,1900.8118810187352,3104
4096.0,1024.0,bbox_containment,bbox_expand,4.0,0.008054123711340205,312.5,16.0,14.980025773195877,16.0,16.0,0.0,0.0,1509.2277412337764,2022.5862508864172,3104
4096.0,1024.0,bbox_then_nearest,bbox_expand,4.0,0.0,312.5,16.0,16.0,16.0,16.0,0.06374838917525773,0.0,1509.2277412337764,1965.8431357871589,3104
4096.0,1024.0,bbox_containment,bbox_expand,6.0,0.007087628865979381,530.0,16.0,15.24742268041237,16.0,16.0,0.0,0.0,1509.2277412337764,2181.807044774761,3104
4096.0,1024.0,bbox_then_nearest,bbox_expand,6.0,0.0,530.0,16.0,16.0,16.0,16.0,0.047036082474226804,0.0,1509.2277412337764,2109.906080356944,3104
4096.0,1024.0,bbox_containment,bbox_expand,8.0,0.0022551546391752575,749.5,16.0,15.77867268041237,16.0,16.0,0.0,0.0,1509.2277412337764,1886.1480160319302,3104
4096.0,1024.0,bbox_then_nearest,bbox_expand,8.0,0.0,749.5,16.0,16.0,16.0,16.0,0.013832957474226804,0.0,1509.2277412337764,1902.7433813296645,3104
4096.0,1024.0,bbox_containment,bbox_expand,10.0,0.0022551546391752575,918.0,16.0,15.797036082474227,16.0,16.0,0.0,0.0,1509.2277412337764,1897.1409111117584,3104
4096.0,1024.0,bbox_then_nearest,bbox_expand,10.0,0.0,918.0,16.0,16.0,16.0,16.0,0.012685244845360825,0.0,1509.2277412337764,1914.9853012521467,3104
4096.0,1024.0,center_radius,high_radius,512.0,0.163659793814433,1.0,1.0,0.8366623711340206,1.0,1.0,0.0,0.0,1509.2277412337764,119.20906885882006,3104
4096.0,1024.0,center_radius,high_radius,1024.0,0.0666881443298969,3.0,3.0,2.6288659793814433,3.0,4.0,0.0,0.0,1509.2277412337764,676.4721652039888,3104
4096.0,1024.0,center_radius,high_radius,2048.0,0.009664948453608248,11.0,11.0,9.375322164948454,11.0,11.0,0.0,0.0,1509.2277412337764,1286.7153495619543,3104
4096.0,1024.0,center_radius,high_radius,4096.0,0.0,41.0,16.0,15.82860824742268,16.0,16.0,0.0,0.0,1509.2277412337764,1766.0228321154711,3104
4096.0,1024.0,center_radius,high_radius,8192.0,0.0,134.0,16.0,15.996134020618557,16.0,16.0,0.0,0.0,1509.2277412337764,1787.5018760978496,3104
