slide_id,fold,raw_attention_shape,a_low_proto_patch_shape,attention_dim_judgement,warning,proto_attention_row_sum_min,proto_attention_row_sum_max,proto_attention_cosine_mean,proto_attention_cosine_median,proto_attention_cosine_max,proto_top1_unique_ratio,proto_top3_overlap_mean,proto_top5_overlap_mean,proto_top1_pairwise_dist_mean,proto_top1_pairwise_dist_median
2475349-B2,0,"(1, 1, 16, 132)","(16, 132)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0,0.9718960317578573,0.9896276204821618,0.9999462646731385,0.0625,1.0,1.0,0.0,0.0
2476252-B2,0,"(1, 1, 16, 120)","(16, 120)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9784859126922159,0.9913481448413506,0.9998795411978174,0.0625,1.0,1.0,0.0,0.0
2477189-B3,0,"(1, 1, 16, 129)","(16, 129)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9794057222888213,0.9921023120015,0.9999430814219048,0.0625,1.0,1.0,0.0,0.0
2477541-B2,0,"(1, 1, 16, 141)","(16, 141)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.97188259522316,0.9886524025167662,0.9999092813998272,0.0625,1.0,1.0,0.0,0.0
2477809-B3,0,"(1, 1, 16, 202)","(16, 202)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9725639408110768,0.9891362903191587,0.9997970437674893,0.0625,1.0,0.9750000000000001,0.0,0.0
2477949-B2,0,"(1, 1, 16, 188)","(16, 188)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0,0.9639494659638821,0.9861069224109322,0.9999371579032812,0.0625,0.8666666666666665,1.0,0.0,0.0
2477977-B3,0,"(1, 1, 16, 192)","(16, 192)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9751031233755187,0.9903535722828776,0.999898632467096,0.0625,0.9583333333333334,1.0,0.0,0.0
2482056-B4,0,"(1, 1, 16, 223)","(16, 223)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.0000001192092896,0.979475878398412,0.9925033847282755,0.9999562064189935,0.125,1.0,1.0,7464.515956919853,0.0
2482896-B2,0,"(1, 1, 16, 143)","(16, 143)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9716808761485193,0.9900303038607474,0.9999630639475559,0.0625,1.0,1.0,0.0,0.0
2482969-B,0,"(1, 1, 16, 300)","(16, 300)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9795823731880932,0.9918320776658611,0.9999246111887111,0.0625,1.0,1.0,0.0,0.0
