slide_id,fold,prototype_id,anchor_rank,anchor_score,coord_x,coord_y
2461700-B2,0,15,2,0.13245464861392975,87335.0,25090.0
2461700-B2,0,15,3,0.09578750282526016,91431.0,25090.0
2462478-B2,0,0,1,0.04119904339313507,118629.0,27568.0
2462478-B2,0,0,2,0.03580203279852867,33457.0,52512.0
2462478-B2,0,0,3,0.035680413246154785,37553.0,56608.0
2462478-B2,0,1,1,0.04821429401636124,118629.0,27568.0
2462478-B2,0,1,2,0.042237333953380585,37553.0,56608.0
2462478-B2,0,1,3,0.04128886014223099,33457.0,52512.0
2462478-B2,0,2,1,0.07637243717908859,118629.0,27568.0
2462478-B2,0,2,2,0.05912639573216438,33457.0,52512.0
2462478-B2,0,2,3,0.05906867980957031,37553.0,56608.0
2462478-B2,0,3,1,0.05819037929177284,118629.0,27568.0
2462478-B2,0,3,2,0.047937214374542236,37553.0,56608.0
2462478-B2,0,3,3,0.046782415360212326,33457.0,52512.0
2462478-B2,0,4,1,0.06429658085107803,118629.0,27568.0
2462478-B2,0,4,2,0.05230198800563812,37553.0,56608.0
2462478-B2,0,4,3,0.05131024867296219,33457.0,52512.0
2462478-B2,0,5,1,0.06655600666999817,118629.0,27568.0
2462478-B2,0,5,2,0.053270142525434494,33457.0,52512.0
2462478-B2,0,5,3,0.053143735975027084,37553.0,56608.0
2462478-B2,0,6,1,0.07121037691831589,118629.0,27568.0
2462478-B2,0,6,2,0.058573246002197266,37553.0,56608.0
2462478-B2,0,6,3,0.05742676556110382,33457.0,52512.0
2462478-B2,0,7,1,0.03865835443139076,118629.0,27568.0
2462478-B2,0,7,2,0.034508492797613144,37553.0,56608.0
2462478-B2,0,7,3,0.03333762660622597,52737.0,30320.0
2462478-B2,0,8,1,0.07074074447154999,118629.0,27568.0
2462478-B2,0,8,2,0.05610188469290733,37553.0,56608.0
2462478-B2,0,8,3,0.054971978068351746,52737.0,30320.0
2462478-B2,0,9,1,0.06700072437524796,118629.0,27568.0
2462478-B2,0,9,2,0.05649846792221069,37553.0,56608.0
2462478-B2,0,9,3,0.054110363125801086,33457.0,52512.0
2462478-B2,0,10,1,0.03924984857439995,118629.0,27568.0
2462478-B2,0,10,2,0.033571869134902954,52737.0,30320.0
2462478-B2,0,10,3,0.0332806296646595,37553.0,56608.0
2462478-B2,0,11,1,0.07324369251728058,118629.0,27568.0
2462478-B2,0,11,2,0.058308057487010956,37553.0,56608.0
2462478-B2,0,11,3,0.05674631521105766,33457.0,52512.0
2462478-B2,0,12,1,0.06014961749315262,118629.0,27568.0
2462478-B2,0,12,2,0.049361396580934525,37553.0,56608.0
2462478-B2,0,12,3,0.04801136255264282,33457.0,52512.0
2462478-B2,0,13,1,0.06980246305465698,118629.0,27568.0
2462478-B2,0,13,2,0.056688956916332245,37553.0,56608.0
2462478-B2,0,13,3,0.05607885494828224,33457.0,52512.0
2462478-B2,0,14,1,0.04433109611272812,118629.0,27568.0
2462478-B2,0,14,2,0.03848738968372345,37553.0,56608.0
2462478-B2,0,14,3,0.03757123276591301,52737.0,30320.0
2462478-B2,0,15,1,0.06548134237527847,118629.0,27568.0
2462478-B2,0,15,2,0.053587377071380615,37553.0,56608.0
2462478-B2,0,15,3,0.05192216485738754,52737.0,30320.0
2462598-B,0,0,1,0.055033281445503235,113600.0,51410.0
2462598-B,0,0,2,0.037783630192279816,32512.0,50578.0
2462598-B,0,0,3,0.036816686391830444,113600.0,47314.0
2462598-B,0,1,1,0.06848901510238647,113600.0,51410.0
2462598-B,0,1,2,0.04415871575474739,32512.0,50578.0
2462598-B,0,1,3,0.042022548615932465,113600.0,47314.0
2462598-B,0,2,1,0.12299741804599762,113600.0,51410.0
2462598-B,0,2,2,0.06226779893040657,32512.0,50578.0
2462598-B,0,2,3,0.057247720658779144,113600.0,47314.0
2462598-B,0,3,1,0.08588414639234543,113600.0,51410.0
2462598-B,0,3,2,0.0496659129858017,32512.0,50578.0
2462598-B,0,3,3,0.048473965376615524,113600.0,47314.0
2462598-B,0,4,1,0.09779760986566544,113600.0,51410.0
2462598-B,0,4,2,0.05498174577951431,32512.0,50578.0
2462598-B,0,4,3,0.05176962912082672,113600.0,47314.0
2462598-B,0,5,1,0.10279957205057144,113600.0,51410.0
2462598-B,0,5,2,0.05632992833852768,32512.0,50578.0
2462598-B,0,5,3,0.05228154733777046,113600.0,47314.0
2462598-B,0,6,1,0.11367534101009369,113600.0,51410.0
2462598-B,0,6,2,0.059661444276571274,32512.0,50578.0
2462598-B,0,6,3,0.0555231012403965,113600.0,47314.0
2462598-B,0,7,1,0.05182212218642235,113600.0,51410.0
2462598-B,0,7,2,0.035819441080093384,32512.0,50578.0
2462598-B,0,7,3,0.03468968719244003,113600.0,47314.0
2462598-B,0,8,1,0.10978733748197556,113600.0,51410.0
2462598-B,0,8,2,0.05816444009542465,32512.0,50578.0
2462598-B,0,8,3,0.05432116240262985,113600.0,47314.0
2462598-B,0,9,1,0.1033586710691452,113600.0,51410.0
2462598-B,0,9,2,0.0556480847299099,32512.0,50578.0
2462598-B,0,9,3,0.053334884345531464,113600.0,47314.0
2462598-B,0,10,1,0.05133448913693428,113600.0,51410.0
