slide_id,fold_ids,num_folds,status,scale_ratio,n_low,n_high,n_low_sampled,n_high_sampled,nearest_dist_mean,nearest_dist_median,nearest_dist_p10,nearest_dist_p90,nearest_dist_min,nearest_dist_max,coverage_256,coverage_512,coverage_1024
25047077B2,1,1,ok,4.0,189,2735,189,2000,41935.66378592977,41307.97918200854,17799.476059606834,65187.01709069595,8717.102270823716,75820.6965478424,0.0,0.0,0.0
25047077B2,1,1,ok,8.0,189,2735,189,2000,137598.85253495266,141264.8807649052,105663.98327380582,168111.45987717007,60218.23046221136,179402.77193231994,0.0,0.0,0.0
25047088B,4,1,ok,1.0,81,1126,81,1126,1803.857491990176,2048.0,1024.0,2896.309375740099,0.0,5221.395981919011,0.055062166962699825,0.055062166962699825,0.27797513321492007
25047088B,4,1,ok,2.0,81,1126,81,1126,32665.182406062093,17074.034447957565,3576.4681818192876,62507.23865208643,379.938152861752,67666.62375203894,0.0,0.0026642984014209592,0.007992895204262877
25047088B,4,1,ok,4.0,81,1126,81,1126,32625.15596022744,33039.847892030244,17009.966286628725,46524.352380550205,9408.412087063363,55584.75281046053,0.0,0.0,0.0
25047088B,4,1,ok,8.0,81,1126,81,1126,84092.48500235514,95973.90501340214,46338.10982860337,120633.82857190064,35992.617715303786,129629.18986478315,0.0,0.0,0.0
25047401B2,1,1,ok,1.0,209,2996,209,2000,2003.376754867911,1448.1546878700494,1024.0,2896.309375740099,0.0,36189.93368327718,0.0555,0.0555,0.284
25047401B2,1,1,ok,2.0,209,2996,209,2000,9829.393916275316,6422.452822987676,2288.0559433720146,22483.705804844107,356.0688135740057,52555.91712642831,0.0,0.0075,0.023
25047401B2,1,1,ok,4.0,209,2996,209,2000,48290.02704630556,51416.943677417075,16361.54603588159,77939.7208949104,3936.0417934773,90111.07101793874,0.0,0.0,0.0
25047401B2,1,1,ok,8.0,209,2996,209,2000,164003.02437420803,170115.4160108208,128963.91908057156,198592.32072649818,83319.64431633154,210046.5191903927,0.0,0.0,0.0
25047538B2,0,1,ok,1.0,122,1719,122,1719,2067.35650671686,1448.1546878700494,1024.0,2896.309375740099,0.0,34069.29655863179,0.06108202443280977,0.06108202443280977,0.29552065154159396
25047538B2,0,1,ok,2.0,122,1719,122,1719,19779.113199560015,19178.073547674176,3207.387878009144,38154.94072419411,65.79513659838392,46932.83748080868,0.0034904013961605585,0.0034904013961605585,0.009889470622454915
25047538B2,0,1,ok,4.0,122,1719,122,1719,49316.03841310829,49916.48451163203,34497.47309586602,63579.82871539253,11163.523189387837,72143.87082074262,0.0,0.0,0.0
25047538B2,0,1,ok,8.0,122,1719,122,1719,137247.8254226594,137962.17972328502,116069.90328677444,158295.94169699514,83595.71071532319,167419.3551325533,0.0,0.0,0.0
25047815B,2,1,ok,1.0,203,2890,203,2000,1713.8281907902137,1448.1546878700494,1024.0,2896.309375740099,0.0,4579.4672179195695,0.059,0.059,0.294
25047815B,2,1,ok,2.0,203,2890,203,2000,10020.894482077296,6154.093353208091,2232.0360660168553,24842.3778586283,245.5402207378661,35057.0315058192,0.0005,0.0005,0.012
25047815B,2,1,ok,4.0,203,2890,203,2000,22419.534152725762,22201.874586774626,8132.094072254698,36548.75766172925,604.6031756449845,47973.421735373435,0.0,0.0,0.0005
25047815B,2,1,ok,8.0,203,2890,203,2000,76366.14194229254,76150.50357627089,55786.35040107543,97236.98689783725,40873.59071576658,114058.36885121583,0.0,0.0,0.0
25047835B3,3,1,ok,1.0,94,1239,94,1239,2053.4499695667946,2048.0,1024.0,3238.1723240124206,0.0,6476.344648024841,0.04519774011299435,0.04519774011299435,0.22679580306698952
25047835B3,3,1,ok,2.0,94,1239,94,1239,9920.338407145055,7034.8802406295445,2472.4279564832623,22415.011288044636,239.77072381756702,33885.23716900916,0.0016142050040355124,0.004842615012106538,0.012106537530266344
25047835B3,3,1,ok,4.0,94,1239,94,1239,33495.8610671643,33491.90794804022,19636.78793000874,47228.4749412278,10949.32591532465,51945.67658621841,0.0,0.0,0.0
25047835B3,3,1,ok,8.0,94,1239,94,1239,101517.60528297069,102238.25433760104,86237.63861088961,115611.23000966995,71047.3251431748,124468.56427226917,0.0,0.0,0.0
25047844B2,2,1,ok,1.0,119,1542,119,1542,2001.2798992800297,2048.0,1024.0,3072.0,0.0,10800.485914994752,0.04928664072632944,0.04928664072632944,0.2490272373540856
25047844B2,2,1,ok,2.0,119,1542,119,1542,6734.976194189755,4864.824046150076,1726.1706172913498,15024.08193982539,285.91082525850607,21392.851539708307,0.0,0.00324254215304799,0.03437094682230869
25047844B2,2,1,ok,4.0,119,1542,119,1542,16529.204666046997,14702.002482081502,5036.779228832647,31856.175582338943,240.65119987234635,42484.50193894239,0.0012970168612191958,0.0012970168612191958,0.0038910505836575876
25047844B2,2,1,ok,8.0,119,1542,119,1542,59173.007129259844,53303.01617384484,30834.805777137535,90581.26565924712,4161.40168693194,100943.74045477014,0.0,0.0,0.0
25047972B2,1,1,ok,1.0,211,3038,211,2000,1767.182324182263,1448.1546878700494,1024.0,2896.309375740099,0.0,4579.4672179195695,0.055,0.055,0.284
25047972B2,1,1,ok,2.0,211,3038,211,2000,12884.215602884637,10705.378194001987,2550.231362053255,28717.17275772307,585.9146695552178,37863.28275519702,0.0,0.0,0.0185
25047972B2,1,1,ok,4.0,211,3038,211,2000,23191.547501732886,14981.628492872018,4437.555569835118,53240.703314970175,136.07718398026907,64844.675957244166,0.0015,0.0015,0.0045
25047972B2,1,1,ok,8.0,211,3038,211,2000,99128.0690763162,96632.84140553672,59265.191865009925,142242.75761784925,43279.23054999938,154998.68262665978,0.0,0.0,0.0
25048256B2,3,1,ok,1.0,274,3921,274,2000,1931.5788023469845,1448.1546878700494,1024.0,2896.309375740099,0.0,26524.189808550233,0.0545,0.0545,0.2745
25048256B2,3,1,ok,2.0,274,3921,274,2000,9312.097601476293,5227.716901286833,1801.2617799753593,24513.972219940202,193.12690128513947,38864.48750466163,0.0015,0.0015,0.034
25048256B2,3,1,ok,4.0,274,3921,274,2000,11831.528105684725,8964.386023407096,3995.3252683605124,25051.96879772844,366.3249923223912,40718.54457123928,0.0,0.002,0.0035
25048256B2,3,1,ok,8.0,274,3921,274,2000,39249.415797538735,37633.41874457261,10410.593931183754,75721.46131159652,1115.0973051711676,97136.19107212307,0.0,0.0,0.0
25048633B2,1,1,ok,1.0,191,2771,191,2000,1987.6594979319214,2048.0,1024.0,2896.309375740099,0.0,28769.31601550513,0.0535,0.0535,0.274
25048633B2,1,1,ok,2.0,191,2771,191,2000,14497.205146336402,13198.976274145647,2954.4711878777903,28157.321946524193,380.5180679021694,41893.68531175074,0.0,0.0015,0.0135
25048633B2,1,1,ok,4.0,191,2771,191,2000,68028.45547163894,68841.0367390447,48690.79920230511,85241.02682524285,16666.734593194913,94041.15015247314,0.0,0.0,0.0
25048633B2,1,1,ok,8.0,191,2771,191,2000,189284.12123718095,190201.5529572026,170012.21396157957,206285.1319446268,144858.3065826741,221672.72180627007,0.0,0.0,0.0
25048669B2,4,1,ok,1.0,347,4821,347,2000,1816.3937050096513,1448.1546878700494,1024.0,2896.309375740099,0.0,16558.23770816206,0.0565,0.0575,0.29
25048669B2,4,1,ok,2.0,347,4821,347,2000,6656.971280046055,4081.127775324274,1729.4079911923618,15905.434139519584,404.5454239019396,31442.41124659494,0.0,0.007,0.034
25048669B2,4,1,ok,4.0,347,4821,347,2000,35741.36868259557,35264.89485387833,9451.28104679494,63495.41326761762,475.60698060478467,78048.0848964278,0.0,0.0005,0.0015
25048669B2,4,1,ok,8.0,347,4821,347,2000,135586.10457982562,136084.71785349798,103971.28384975642,165541.15228358636,69545.0398662622,181371.41050341976,0.0,0.0,0.0
25049669B3,2,1,ok,1.0,287,4306,287,2000,1710.97437433801,1448.1546878700494,1024.0,2350.391185637899,0.0,11462.890778507837,0.064,0.064,0.304
25049669B3,2,1,ok,2.0,287,4306,287,2000,10202.723371569618,7479.111240402408,2265.1132422022524,22604.953107670895,332.12196554880256,36554.71375896684,0.0,0.008,0.0195
25049669B3,2,1,ok,4.0,287,4306,287,2000,41349.864345927046,42805.88022984367,7119.343368597978,78609.75785371101,403.655793963124,89410.88314629266,0.0,0.0005,0.001
25049669B3,2,1,ok,8.0,287,4306,287,2000,152839.17636679648,155129.89583901968,113600.70515425096,192606.81246706453,86369.79217874732,202607.71195835562,0.0,0.0,0.0
25049966B2,1,1,ok,1.0,132,1912,132,1912,1744.1877348268117,1448.1546878700494,1024.0,2896.309375740099,0.0,6755.941977252321,0.06014644351464435,0.06014644351464435,0.29497907949790797
25049966B2,1,1,ok,2.0,132,1912,132,1912,13581.308823834399,12915.128931853284,3182.8339573405333,25964.397756115282,484.2478704134898,32435.207059613476,0.0,0.0031380753138075313,0.006276150627615063
25049966B2,1,1,ok,4.0,132,1912,132,1912,22949.165889155713,16725.09091841319,5606.498684853362,43546.49781555343,515.5201256983087,49293.26574695574,0.0,0.0,0.0020920502092050207
25049966B2,1,1,ok,8.0,132,1912,132,1912,71070.97304846492,64651.94654853118,35570.365449262805,105781.17712790605,23919.26221688286,115017.62007623006,0.0,0.0,0.0
25049999B2,0,1,ok,1.0,201,2832,201,2000,1734.7333679831297,1448.1546878700494,1024.0,2896.309375740099,0.0,5120.0,0.058,0.0585,0.29
25049999B2,0,1,ok,2.0,201,2832,201,2000,22876.389472233128,23093.0996760435,2860.272189844876,46094.06476874831,38.01315561749642,59001.16642914782,0.003,0.003,0.0155
